id,title,release_date,overview,genres,poster_path
1353117,Home Sweet Home: Rebirth,2025-03-20,"When a city is overrun with a demonically-possessed crowd, a cop must find the source of evil to save his family.","Horror, Fantasy, Thriller, Mystery, Action",/9rCBCm9cyI4JfLEhx3EncyncMR3.jpg
1241982,Moana 2,2024-11-21,"After receiving an unexpected call from her wayfinding ancestors, Moana journeys alongside Maui and a new crew to the far seas of Oceania and into dangerous, long-lost waters for an adventure unlike anything she's ever faced.","Animation, Adventure, Family, Comedy",/aLVkiINlIeCkcZIzb7XHzPYgO6L.jpg
1125899,Cleaner,2025-02-19,"When a group of radical activists take over an energy company's annual gala, seizing 300 hostages, an ex-soldier turned window cleaner suspended 50 storeys up on the outside of the building must save those trapped inside, including her younger brother.","Action, Thriller",/mwzDApMZAGeYCEVjhegKvCzDX0W.jpg
762509,Mufasa: The Lion King,2024-12-18,"Mufasa, a cub lost and alone, meets a sympathetic lion named Taka, the heir to a royal bloodline. The chance meeting sets in motion an expansive journey of a group of misfits searching for their destiny.","Adventure, Family, Animation",/lurEK87kukWNaHd0zYnsi3yzJrs.jpg
939243,Sonic the Hedgehog 3,2024-12-19,"Sonic, Knuckles, and Tails reunite against a powerful new adversary, Shadow, a mysterious villain with powers unlike anything they have faced before. With their abilities outmatched in every way, Team Sonic must seek out an unlikely alliance in hopes of stopping Shadow and protecting the planet.","Action, Science Fiction, Comedy, Family, Adventure, Fantasy",/d8Ryb8AunYAuycVKDp5HpdWPKgC.jpg
1229730,Carjackers,2025-03-27,"By day, they're invisible—valets, hostesses, and bartenders at a luxury hotel. By night, they're the Carjackers, a crew of skilled drivers who track and rob wealthy clients on the road. As they plan their ultimate heist, the hotel director hires a ruthless hitman, to stop them at all costs. With danger closing in, can Nora, Zoe, Steve, and Prestance pull off their biggest score yet?","Action, Adventure",/wbkPMTz2vVai7Ujyp0ag7AM9SrO.jpg
1233413,Sinners,2025-04-16,"Trying to leave their troubled lives behind, twin brothers return to their hometown to start again, only to discover that an even greater evil is waiting to welcome them back.","Drama, Horror, Thriller",/fWPgbnt2LSqkQ6cdQc0SZN9CpLm.jpg
696506,Mickey 17,2025-02-28,"Unlikely hero Mickey Barnes finds himself in the extraordinary circumstance of working for an employer who demands the ultimate commitment to the job… to die, for a living.","Science Fiction, Comedy, Adventure",/edKpE9B5qN3e559OuMCLZdW1iBZ.jpg
1373723,The Codes of War,2025-03-20,"War stories about family, ethics and honor include the true story of two U.S. Marines who in a span of six seconds, must stand their ground to stop a suicide truck bomb, a Navy Corpsman who attempts to hold on to his humanity, and a WW2 soldier who gets separated from his squad and is forced to re-evaluate his code.","Action, War",/oXeiQAfRK90pxxhP5iKPXQqAIN1.jpg
1195585,The Hard Hit,2023-10-20,"An Interpol agent hunting the head of a global crime syndicate tracks his target to Las Vegas, but when the criminal organization kills his wife and daughter, he goes above the law to get his revenge.","Action, Thriller, Crime",/whkFbOZTamHeugEG95jvQehSzAH.jpg
1403735,Laila,2025-02-14,"Sonu Model, a renowned beautician from the old city, is forced to disguise himself as Laila, leading to a series of comedic, romantic, and action-packed events. Chaos ensues in this hilarious laugh riot","Comedy, Romance",/l4gsNxFPGpzbq0D6QK1a8vO1lBz.jpg
1252309,Ask Me What You Want,2024-11-29,"After his father's death, Eric Zimmerman travels to Spain to oversee his company's branches. In Madrid, he falls for Judith and engage in an intense, erotic relationship full of exploration. However, Eric fears his secret may end their affair.","Romance, Drama",/76qnVxU2rPdVvipBN3DPQH6fVYB.jpg
1195430,Deva,2025-01-31,"Dev Ambre, a ruthless cop, loses his memory in an accident just after he has finished solving a murder case and now has to reinvestigate it while keeping his memory loss a secret from everyone except DCP Farhan Khan.","Action, Thriller, Mystery, Crime",/qxtXzAlEPxmjHILU8k8wduvBSdo.jpg
1101401,Sugar Baby,2024-10-15,"An enterprising Sugar Baby is offered $30,000 to move in with her Sugar Daddy for the week, but soon discovers the sinister secrets trapped within his home.","Thriller, Comedy",/z7NyxmdJ1ypn3Y6BVizjGODuBdO.jpg
1208808,Night Shift,2024-10-31,"A young nurse with a domestic abuse past starts working the night shift at a small hospital, where, during the night, the ghost of a nurse materializes.",Horror,/iSSx9Bys64vlOkvkyKXtp19P7Re.jpg
1126166,Flight Risk,2025-01-22,"A U.S. Marshal escorts a government witness to trial after he's accused of getting involved with a mob boss, only to discover that the pilot who is transporting them is also a hitman sent to assassinate the informant. After they subdue him, they're forced to fly together after discovering that there are others attempting to eliminate them.","Action, Thriller",/q0bCG4NX32iIEsRFZqRtuvzNCyZ.jpg
1165067,Cosmic Chaos,2023-08-03,"Battles in virtual reality, survival in a post-apocalyptic wasteland, a Soviet spaceship giving a distress signal - Fantastic stories created with advanced special effects and passion.","Thriller, Science Fiction",/mClzWv7gBqgXfjZXp49Enyoex1v.jpg
1087891,The Amateur,2025-04-09,"After his life is turned upside down when his wife is killed in a London terrorist attack, a brilliant but introverted CIA decoder takes matters into his own hands when his supervisors refuse to take action.","Thriller, Action",/SNEoUInCa5fAgwuEBMIMBGvkkh.jpg
1261050,The Quiet Ones,2024-10-31,"In 2008, a group of men from Denmark and across Europe pull off the biggest heist of all time on Danish soil. Kasper, a boxer with few chances left in life, is offered the opportunity to plan the robbery by its foreign initiators.","Action, Drama",/7NLY1jNwtZX1yVzwVoBeAhaBE8i.jpg
950396,The Gorge,2025-02-13,"Two highly trained operatives grow close from a distance after being sent to guard opposite sides of a mysterious gorge. When an evil below emerges, they must work together to survive what lies within.","Romance, Science Fiction, Thriller",/7iMBZzVZtG0oBug4TfqDb9ZxAOa.jpg
1020414,Peter Pan's Neverland Nightmare,2025-01-13,"Wendy Darling strikes out in an attempt to rescue her brother Michael from the clutches of the evil Peter Pan who intends to send him to Neverland. Along the way she meets a twisted Tinkerbell, who is hooked on what she thinks is fairy dust.","Horror, Thriller, Fantasy",/mOR1Ks0EcXocwMV4EPv4letz0F5.jpg
1103432,Bloody Escape: Bats out of Hell,2024-01-05,"After being turned into a cyborg, Kisaragi faces pursuit from vampires and vengeful yakuza.","Animation, Action, Science Fiction",/lWKtVX5oEgcLbMYMaWiyes6c4IB.jpg
1282980,825 Forest Road,2025-04-04,"After a family tragedy, Chuck Wilson hopes to start a new life in Ashland Falls with his wife Maria and little sister Elizabeth, but he quickly discovers that the town has a dark history of being haunted by a ghostly woman who drives residents to suicide.","Horror, Thriller",/ohESp5Nw49OD4ExCeNYCEIGX2iq.jpg
1029880,Nightwatch: Demons Are Forever,2023-12-14,"Martin's daughter, Emma, takes up a night watch job to find out what happened to her parents almost thirty years ago. A meeting with Wörmer in his cell pulls the serial killer out of his coma and sets in motion a chain of fateful events.","Horror, Thriller, Mystery",/7Bj9qbmTiBdOmVlHeQqoEjsDxul.jpg
1226572,Superboys of Malegaon,2025-02-28,"The residents of Malegaon look to Bollywood cinema for a much-needed escape from daily drudgery. Amateur filmmaker Nasir Shaikh gets inspired to make a film for the people of Malegaon, by the people of Malegaon. He bands together his ragtag group of friends to bring his vision to life, thereby bringing a fresh lease of life into the town.","Comedy, Drama",/l5PDjfWpC9uY5HdF5cbsJ4wjqoq.jpg
1297763,Batman Ninja vs. Yakuza League,2025-03-17,"The Batman family has returned to the present to discover that Japan has disappeared, and a giant island - Hinomoto - is now in the sky over Gotham City.  At the top sit the Yakuza, a group of superpowered individuals who reign without honor or humanity and look suspiciously like the Justice League. Now, it’s up to Batman and his allies to save Gotham!","Animation, Action",/sVVT6GYFErVv0Lcc9NvqCu0iOxO.jpg
447273,Snow White,2025-03-19,"Following the benevolent King's disappearance, the Evil Queen dominated the once fair land with a cruel streak. Princess Snow White flees the castle when the Queen, in her jealousy over Snow White's inner beauty, tries to kill her. Deep into the dark woods, she stumbles upon seven magical dwarves and a young bandit named Jonathan. Together, they strive to survive the Queen's relentless pursuit and aspire to take back the kingdom in the process.","Family, Fantasy",/xWWg47tTfparvjK0WJNX4xL8lW2.jpg
1302916,Heart Eyes,2025-02-06,"When the ""Heart Eyes Killer"" strikes Seattle, a pair of co-workers pulling overtime on Valentine's Day are mistaken for a couple by the elusive couple-hunting killer. Now, they must spend the most romantic night of the year running for their lives.","Horror, Comedy, Romance",/ebqttF1Vjgde6uSFBEw9mta7Hd3.jpg
1356039,Counterattack,2025-02-27,"When a hostage rescue mission creates a new enemy, Capt. Guerrero and his elite soldiers must face an ambush by a criminal group.","Action, Adventure, Thriller",/38I76hGcFY6xB47pjm7pZwkfuAF.jpg
912649,Venom: The Last Dance,2024-10-22,"Eddie and Venom are on the run. Hunted by both of their worlds and with the net closing in, the duo are forced into a devastating decision that will bring the curtains down on Venom and Eddie's last dance.","Action, Science Fiction, Adventure",/vGXptEdgZIhPg3cGlc7e8sNPC2e.jpg
1212855,Fight or Flight,2025-04-03,A mercenary takes on the job of tracking down a target on a plane but must protect her when they're surrounded by people trying to kill both of them.,"Action, Comedy, Thriller",/x4nWnfgJvL045rcUCSJzfgIIY9i.jpg
1010581,My Fault,2023-06-08,"Noah must leave her city, boyfriend, and friends to move into William Leister's mansion, the flashy and wealthy husband of her mother Rafaela. As a proud and independent 17 year old, Noah resists living in a mansion surrounded by luxury. However, it is there where she meets Nick, her new stepbrother, and the clash of their strong personalities becomes evident from the very beginning.","Romance, Drama",/w46Vw536HwNnEzOa7J24YH9DPRS.jpg
1064486,Memoir of a Snail,2024-10-17,"Forcibly separated from her twin brother when they are orphaned, a melancholic misfit learns how to find confidence within herself amid the clutter of misfortunes and everyday life.","Animation, Drama, Comedy",/57AgZv1ITeBLShiNdchZ5153evs.jpg
1104845,Plankton: The Movie,2025-03-08,Plankton's tangled love story with his sentient computer wife goes sideways when she takes a stand — and decides to destroy the world without him.,"Animation, Adventure, Comedy, Family, Fantasy",/hGaUNLF5VZbg9ovPTyjm9Rv5xWz.jpg
519182,Despicable Me 4,2024-06-20,"Gru and Lucy and their girls—Margo, Edith and Agnes—welcome a new member to the Gru family, Gru Jr., who is intent on tormenting his dad. Gru also faces a new nemesis in Maxime Le Mal and his femme fatale girlfriend Valentina, forcing the family to go on the run.","Animation, Family, Comedy, Science Fiction",/wWba3TaojhK7NdycRhoQpsG0FaH.jpg
1249385,Ghost Game,2024-10-18,"As part of an internet challenge to live undetected in a stranger’s home, a daring couple target an infamous haunted house and endure a series of chilling incidents as they witness a family descending into madness.","Horror, Thriller",/kxxWBEn7qTN2xumSferCHbDudcT.jpg
1388366,Popeye the Slayer Man,2025-03-21,"A curious group of friends sneak into an abandoned spinach canning factory to film a documentary on the legend of the ""Sailor Man,"" who is said to haunt the factory and local docks.",Horror,/nVwu3mN7hr1yF467pGct3yQFM41.jpg
823219,Flow,2024-08-29,"A solitary cat, displaced by a great flood, finds refuge on a boat with various species and must navigate the challenges of adapting to a transformed world together.","Animation, Fantasy, Adventure",/imKSymKBK7o73sajciEmndJoVkR.jpg
927342,Amaran,2024-10-31,"A heroic true story of Major Mukund Varadarajan, an Indian Army officer who displayed extraordinary bravery during a counterterrorism mission in Kashmir’s Shopian district. The film captures his courage in protecting his nation and the devotion of his wife Indhu Rebecaa Varghese.","Action, Drama, Adventure, War",/eCB06m1KUGilEOlIzb40nkQhVY0.jpg
539972,Kraven the Hunter,2024-12-11,"Kraven Kravinoff's complex relationship with his ruthless gangster father, Nikolai, starts him down a path of vengeance with brutal consequences, motivating him to become not only the greatest hunter in the world, but also one of its most feared.","Action, Adventure, Thriller",/1GvBhRxY6MELDfxFrete6BNhBB5.jpg
1405338,Demon City,2025-02-26,"Framed for his family's murder and left for dead, an ex-hitman will stop at nothing to exact revenge on the masked ""demons"" who have taken over his city.","Action, Crime, Fantasy, Thriller",/g5PqsFFrayyRL1Ldgib2lMYuJXg.jpg
1156593,Your Fault,2024-12-26,The love between Noah and Nick seems unwavering despite their parents' attempts to separate them. But his job and her entry into college open up their lives to new relationships that will shake the foundations of both their relationship and the Leister family itself.,"Romance, Drama",/1sQA7lfcF9yUyoLYC0e6Zo3jmxE.jpg
1160956,Panda Plan,2024-10-01,"International action star Jackie Chan is invited to the adoption ceremony of a rare baby panda, but after an international crime syndicate attempts to kidnap the bear, Jackie has to save the bear using his stunt work skills.","Action, Comedy",/hbO8MVrDuT8YxqeJD6DMxcamY9N.jpg
1184918,The Wild Robot,2024-09-12,"After a shipwreck, an intelligent robot called Roz is stranded on an uninhabited island. To survive the harsh environment, Roz bonds with the island's animals and cares for an orphaned baby goose.","Animation, Science Fiction, Family",/wTnV3PCVW5O92JMrFvvrRcV39RU.jpg
558449,Gladiator II,2024-11-13,"Years after witnessing the death of the revered hero Maximus at the hands of his uncle, Lucius is forced to enter the Colosseum after his home is conquered by the tyrannical Emperors who now lead Rome with an iron fist. With rage in his heart and the future of the Empire at stake, Lucius must look to his past to find strength and honor to return the glory of Rome to its people.","Action, Adventure, Drama",/2cxhvwyEwRlysAmRH4iodkvo0z5.jpg
533535,Deadpool & Wolverine,2024-07-24,"A listless Wade Wilson toils away in civilian life with his days as the morally flexible mercenary, Deadpool, behind him. But when his homeworld faces an existential threat, Wade must reluctantly suit-up again with an even more reluctant Wolverine.","Action, Comedy, Science Fiction",/8cdWjvZQUExUUTzyp4t6EDMubfO.jpg
995926,"I, the Executioner",2024-09-13,"The veteran detective Seo Do-cheol and his team at Major Crimes, relentless in their pursuit of criminals, join forces with rookie cop Park Sun-woo to track down a serial killer who has plunged the nation into turmoil.","Action, Crime",/gAtP0usArK5gVOBObnsENKLwML8.jpg
1077782,Old Guy,2024-12-13,"Stuck at a dead end but vying for the love of spunky club manager Anata, aging contract killer Danny Dolinski is thrilled when The Company pulls him back in the field, but only to train Gen Z newcomer Wihlborg, a prodigy assassin with an attitude.","Action, Comedy",/ulVVfNY8bmy1RbHfY4zi3fOwGzh.jpg
1059643,Clawfoot,2024-04-24,An upper-class suburban housewife is psychologically terrorized by a manipulative contractor remodeling her bathroom... until the tables are turned and a twisted battle of wits ensues with deliciously unexpected results.,Thriller,/p2aM5FtUHmKp28AfiZCP6rkQJiw.jpg
1022789,Inside Out 2,2024-06-11,"Teenager Riley's mind headquarters is undergoing a sudden demolition to make room for something entirely unexpected: new Emotions! Joy, Sadness, Anger, Fear and Disgust, who’ve long been running a successful operation by all accounts, aren’t sure how to feel when Anxiety shows up. And it looks like she’s not alone.","Animation, Adventure, Comedy, Family",/vpnVM9B6NMmQpWeZvzLvDESb2QY.jpg
1217379,Hellhound,2024-06-20,"Ready to leave his profession behind, Loreno, an assassin, lends help to an old friend, Cetan, and taking one last job in Thailand seeking out a local kingpin. A lapse in judgment means Loreno crosses paths with old colleague Paul.","Action, Crime, Thriller",/h1BtcTEk0pbe9XhbxrAp2oLKoWb.jpg
1141233,Super Papa,2024-08-07,"For the 8th birthday of his son Gaby, Tom, unwittingly offers him a book ... which contains only blank pages. Faced with Gaby's disappointment and in order not to lose face, Tom pretends that it is a magic book: all you have to do is write your dreams in it for them to come true. This is how, totally overwhelmed, Tom will do everything he can to make his son's dreams come true, even the wildest ones!","Comedy, Family",/1jqG652MICyDGeXyHfWooBaIcQq.jpg
1140847,Cinderella's Revenge,2024-04-26,"Cinderella finds freedom from her wicked stepmother with the help of her fairy godmother. Only this time, they unleash a plan of bloody vengeance.","Fantasy, Horror",/cYB3SHhITJSbRoisgn9QQTP8YkZ.jpg
299536,Avengers: Infinity War,2018-04-25,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.","Adventure, Action, Science Fiction",/7WsyChQLEftFiDOVTGkv3hFpyyt.jpg
933260,The Substance,2024-09-07,"A fading celebrity decides to use a black market drug, a cell-replicating substance that temporarily creates a younger, better version of herself.","Horror, Science Fiction",/cGm2qnmXx9tFabmzEIkJZjCJdQd.jpg
1084199,Companion,2025-01-22,"During a weekend getaway at a secluded lakeside estate, a group of friends finds themselves entangled in a web of secrets, deception, and advanced technology. As tensions rise and loyalties are tested, they uncover unsettling truths about themselves and the world around them.","Horror, Science Fiction, Thriller",/oCoTgC3UyWGfyQ9thE10ulWR7bn.jpg
1294203,My Fault: London,2025-02-12,"18-year-old Noah moves from America to London, with her mother who's recently fallen in love with William, a wealthy British businessman. Noah meets William’s son, bad-boy Nick, and soon discovers there is an attraction between them neither can avoid. As Noah spends the summer adjusting to her new life, her devastating past will catch up with her while falling in love for the first time.","Romance, Drama",/ttN5D6GKOwKWHmCzDGctAvaNMAi.jpg
1254786,The Life List,2025-03-27,"When her mother sends her on a quest to complete a teenage bucket list, a young woman uncovers family secrets, finds romance — and rediscovers herself.","Romance, Comedy, Drama",/5fg98cVo7da7OIK45csdLSd4NaU.jpg
1143407,Sky Force,2025-01-24,"In the 1965 Indo-Pak War, India faces a devastating surprise attack. Wing Commander Ahuja leads a retaliatory strike, but Squadron Leader Vijaya goes missing after a heroic solo engagement against a superior enemy jet. Ahuja spends 23 years seeking the truth and uncovering a cover-up.","Action, Thriller",/pmtev9YTlIRDo25G7lN8dzyoszn.jpg
1241436,Warfare,2025-04-09,"A platoon of Navy SEALs embarks on a dangerous mission in Ramadi, Iraq, with the chaos and brotherhood of war retold through their memories of the event.","War, Action",/oXsDTDt1MqxJreROd2cbd2FMOZ2.jpg
6844,The Ten Commandments,1956-10-05,"Escaping death, a Hebrew infant is raised in a royal household to become a prince. Upon discovery of his true heritage, Moses embarks on a personal quest to reclaim his destiny as the leader and liberator of the Hebrew people.","Drama, History",/3Ei59AR64x6dMZfWobPCkZjbqTL.jpg
774370,Dog Man,2025-01-24,"When a faithful police dog and his human police officer owner are injured together on the job, a harebrained but life-saving surgery fuses the two of them together and Dog Man is born. Dog Man is sworn to protect and serve—and fetch, sit and roll over. As Dog Man embraces his new identity and strives to impress his Chief, he must stop the pretty evil plots of feline supervillain Petey the Cat.","Family, Comedy, Adventure, Animation",/89wNiexZdvLQ41OQWIsQy4O6jAQ.jpg
1013601,The Alto Knights,2025-03-14,"Two of New York's most notorious organized crime bosses, Frank Costello and Vito Genovese, vie for control of the city's streets. Once the best of friends, petty jealousies and a series of betrayals place them on a deadly collision course that will reshape the Mafia (and America) forever.","History, Drama, Crime",/95KmR0xNuZZ6DNESDwLKWGIBvMg.jpg
1064213,Anora,2024-10-14,"A young sex worker from Brooklyn gets her chance at a Cinderella story when she meets and impulsively marries the son of an oligarch. Once the news reaches Russia, her fairytale is threatened as his parents set out to get the marriage annulled.","Drama, Comedy, Romance",/7MrgIUeq0DD2iF7GR6wqJfYZNeC.jpg
1113583,"Oh, Canada",2024-12-06,"Famed Canadian-American leftist documentary filmmaker Leonard Fife was one of sixty thousand draft evaders and deserters who fled to Canada to avoid serving in Vietnam. Now in his late seventies, Fife is dying of cancer in Montreal and has agreed to a final interview in which he is determined to bare all his secrets at last, to demythologize his mythologized life.",Drama,/hKDR5AYXRTPb751oc7xK2Ay3PH0.jpg
1249289,Alarum,2025-01-16,"Two married spies caught in the crosshairs of an international intelligence network will stop at nothing to obtain a critical asset. Joe and Lara are agents living off the grid whose quiet retreat at a winter resort is blown to shreds when members of the old guard suspect the two may have joined an elite team of rogue spies, known as Alarum.","Action, Crime, Thriller",/v313aUGmMNj6yNveaiQXysBmjVS.jpg
1229646,"Robotia, la película",2024-06-07,,"Animation, Adventure",/uRH4QEaa38Pz7xOiBJDaWp50s8g.jpg
845781,Red One,2024-10-31,"After Santa Claus (codename: Red One) is kidnapped, the North Pole's Head of Security must team up with the world's most infamous tracker in a globe-trotting, action-packed mission to save Christmas.","Action, Comedy, Fantasy",/cdqLnri3NEGcmfnqwk2TSIYtddg.jpg
24428,The Avengers,2012-04-25,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!","Science Fiction, Action, Adventure",/RYMX2wcKCBAr24UyPD7xwmjaTn.jpg
1149137,The Travelling Dog,2023-08-25,"The life of Zuzia, whose dad works on the railway, changes mas-sively when Lampo, an extraordinary travelling dog, joins the family. The remarkable shepherd dog, whose train trips are an internet sensation, immediately becomes the best friend of the girl suffering from a heart condition.","Family, Adventure",/bC9K8ZWqSIG7sfe2XHzw73Sc8MC.jpg
1190462,Breathing In,2023-10-18,"1901, South Africa. As the Second Anglo-Boer War rages on, a wounded General seeks refuge in the small home of a woman and her young daughter. As the hurt man settles in, he begins noticing that something is off about the two women, particularly the daughter, and before long, he’ll learn the real reason for why they’ve invited him and for how they’ve survived on their own for so long.","Horror, Thriller, Drama",/yy2dmnBlPhx21GUMUJUPxA9QUFp.jpg
1301650,Z Zone,2025-02-07,"In a remote corner of the world, a group of troubled youths finds themselves whisked away to a mysterious military base after a series of misbehaviors. Expecting little more than a stern reprimand, they are instead thrust into a world of secrets and shadows.  In a desperate bid for freedom, they must unravel the mysteries of the base and confront the sinister forces that lurk in the shadows. But with time running out and danger lurking around every corner, the odds of survival grow slimmer by the minute.  Courage, strength, and sacrifice, would they finally escape the clutches of the base and emerge from the darkness into the light?",Horror,/s6kFtdxfTC4xR8yDGbIjTgGEcFI.jpg
157336,Interstellar,2014-11-05,The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,"Adventure, Drama, Science Fiction",/gEU2QniE6E77NI6lCU6MxlNBvIx.jpg
1062276,Dark Match,2024-07-21,"A small-time wrestling company accepts a well-paying gig in a backwoods town only to learn, too late, that the community is run by a mysterious cult leader with devious plans for their match.","Action, Horror",/6E6fBED3ix7FmrWUWZdeYG4vqK8.jpg
658224,"The Wizard of the Emerald City, Part 1",2025-01-01,"Ellie lives in a distant city. One day, the evil witch Gingema conjured a hurricane that took Ellie and her dog Totoshka to the country of the Munchkins. To return home, Ellie and her friends the Scarecrow, the Tin Woodman and the Cowardly Lion will set off along the yellow brick road to the Emerald City in search of the Wizard who will grant their cherished wishes. The first part of a two-part film.","Drama, Fantasy",/ue3mp7z2EdoZuumtZNj2xEE4CN4.jpg
1233575,Black Bag,2025-03-12,"When intelligence agent Kathryn Woodhouse is suspected of betraying the nation, her husband – also a legendary agent – faces the ultimate test of whether to be loyal to his marriage, or his country.","Drama, Mystery, Thriller",/hHPovtU4b96LHcoeEwRkGHI5btw.jpg
45139,Jesus,1979-10-19,"Three and a half years of Jesus' ministry, as told in the Gospel of Luke.","Drama, Fantasy",/lKveT74WCfqz8Bo56qFw8H6Dujz.jpg
1147416,"Miraculous World: London, At the Edge of Time",2024-11-14,"To save the future from a terrible fate, Marinette becomes Chronobug and teams up with Bunnyx to defeat a mysterious opponent who travels through time. Who is this new supervillain, and why are they obsessed with exposing Marinette's secret superhero identity? Marinette's only hope is to defeat her new opponent to prevent the end of Ladybug and time itself!","Animation, Adventure, Action, Fantasy",/6AtoMpHvs9pxd30KsyK8QmJ9W9M.jpg
1357633,Solo Leveling -ReAwakening-,2024-11-26,"Over a decade after 'gates' connecting worlds appeared, awakening 'hunters' with superpowers, weakest hunter Sung Jinwoo encounters a double dungeon and accepts a mysterious quest, becoming the only one able to level up, changing his fate. A catch-up recap of the first season coupled with an exclusive sneak peek of the first two episodes of the highly anticipated second season in one momentous theatrical fan experience.","Action, Adventure, Fantasy, Animation",/dblIFen0bNZAq8icJXHwrjfymDW.jpg
597,Titanic,1997-11-18,"101-year-old Rose DeWitt Bukater tells the story of her life aboard the Titanic, 84 years later. A young Rose boards the ship with her mother and fiancé. Meanwhile, Jack Dawson and Fabrizio De Rossi win third-class tickets aboard the ship. Rose tells the whole story from Titanic's departure through to its death—on its first and last voyage—on April 15, 1912.","Drama, Romance",/9xjZS2rlVxm8SFx8kPC3aIGCOYQ.jpg
665,Ben-Hur,1959-11-18,"In 25 AD, Judah Ben-Hur, a Jew in ancient Judea, opposes the occupying Roman empire.  Falsely accused by a Roman childhood friend-turned-overlord of trying to kill the Roman governor, he is put into slavery and his mother and sister are taken away as prisoners.","History, Drama, Adventure, Action",/m4WQ1dBIrEIHZNCoAjdpxwSKWyH.jpg
411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005-12-07,"Siblings Lucy, Edmund, Susan and Peter step through a magical wardrobe and find the land of Narnia. There, they discover a charming, once peaceful kingdom that has been plunged into eternal winter by the evil White Witch, Jadis. Aided by the wise and magnificent lion, Aslan, the children lead Narnia into a spectacular, climactic battle to be free of the Witch's glacial powers forever.","Adventure, Family, Fantasy",/iREd0rNCjYdf5Ar0vfaW32yrkm.jpg
1118031,Apocalypse Z: The Beginning of the End,2024-10-04,"When a kind of rabies that transforms people into aggressive creatures spreads across the planet, Manel isolates himself at home with his cat, relying on his wits to survive; but soon they must go out in search of food, by land and by sea, dodging many dangers.","Drama, Action, Horror",/wIGJnIFQlESkC2rLpfA8EDHqk4g.jpg
